episode,reward,x,y,z,phi,theta,psi
1,-117.0,-8.04026613645,2.80472686652,0.0,5.22973685125,1.02866737174,0.0
2,-117.0,-7.9927332494,2.62880446983,0.0,5.58756097266,0.769133951006,0.0
3,-33.0,-1.14110210724,0.00295018559185,0.0,0.236493548995,0.855040430688,0.0
4,-111.0,-5.79904398487,1.84847757322,0.0,4.40898566661,3.84774636192,0.0
5,-24.0,0.0420861361566,0.240796035599,0.0,2.93106323194,0.0438712541493,0.0
6,-12.0,0.000484378679538,0.0573458444411,0.0,2.83378100537,6.25651663849,0.0
7,-12.0,0.000437670582937,0.031327585399,0.0,4.54024957522,6.28279780146,0.0
8,-12.0,0.000910015625144,0.0169177968683,0.0,4.97512059936,6.27837583806,0.0
9,-27.0,0.0343241024706,-0.242630878906,0.0,5.58731669691,6.18695022031,0.0
10,-87.0,2.23151512978,-1.95735297096,0.0,5.55224808704,2.14292039558,0.0
11,-18.0,-0.12258764339,0.0663437087432,0.0,0.952762815071,0.571980428552,0.0
12,-21.0,-0.243959510526,0.120386541517,0.0,0.497753276606,0.332767162047,0.0
13,-21.0,-0.25499843129,0.0877683001457,0.0,0.104160219698,0.355610416174,0.0
14,-21.0,-0.285980132143,0.0368520831332,0.0,5.97531097352,0.451829832651,0.0
15,-18.0,-0.169980076016,0.0224278911347,0.0,0.157380150292,0.90355192723,0.0
16,-18.0,-0.184095110936,0.0353583035772,0.0,5.73974413829,1.07070688919,0.0
17,-18.0,-0.188110154751,0.0565762020675,0.0,4.81559055128,1.14211033951,0.0
18,-18.0,-0.185253443106,0.0750558445558,0.0,3.71131334364,1.07373141022,0.0
19,-18.0,-0.179432895459,0.0959756503013,0.0,2.95469185246,0.973861461894,0.0
20,-21.0,-0.288064026088,0.214692075224,0.0,2.23293655171,0.564941350815,0.0
21,-18.0,-0.103595565079,0.160882194427,0.0,2.3540649763,0.391879161792,0.0
22,-18.0,-0.060427640631,0.118271860084,0.0,2.95628023933,0.212474660174,0.0
23,-18.0,-0.0526376813365,0.0664832455122,0.0,3.42397876974,0.238679597216,0.0
24,-18.0,-0.0554365948903,0.0374998535373,0.0,3.67266721306,0.311031735471,0.0
25,-33.0,-0.197644083293,-0.0728262800268,0.0,3.88860665041,0.0478669181923,0.0
26,-39.0,-0.281543242433,-0.527542110492,0.0,3.85612668307,1.27368136427,0.0
27,-21.0,-0.0228513374817,0.167916719574,0.0,1.34910836923,0.402005705383,0.0
28,-18.0,0.000328621884952,0.086296355461,0.0,1.55031579798,0.329776975704,0.0
29,-18.0,-0.00173535387006,0.0841993426775,0.0,1.93272542056,0.424130640704,0.0
30,-18.0,-0.00376815786002,0.0637217631788,0.0,2.52207607339,0.553881426296,0.0
